set P := 1 2 3 4 5 6;

set I := 1 2 3 4 5 6 7 8 9;

param 
v [*,*] (tr)
:     1        2        3        4        5        6       :=
1   0.1562   0.3919   0.5742   0.2405   0.7568   0.3325
2   0.9888   0.5171   0.7977   0.0253   0.2407   0.1728
3   0.0334   0.7941   0.1383   0.0646   0.9853   0.2025
4   0.3623   0.6644   0.7308   0.6444   0.2062   0.2131
5   0.0145   0.8518   0.9796   0.4904   0.7993   0.4909
6   0.358    0.4911   0.4182   0.5918   0.0359   0.1107
7   0.5184   0.1091   0.4423   0.6454   0.4919   0.869
8   0.5025   0.3333   0.9117   0.7695   0.2576   0.907
9   0.6109   0.1568   0.3758   0.434    0.7232   0.8706
;

