set P := 1 2 3 4 5 6 7 8 9;

set I := 1 2 3 4 5 6 7;

param 
v [*,*]
:     1        2        3        4        5        6        7       :=
1   0.8859   0.4284   0.7142   0.7862   0.1852   0.6362   0.1702
2   0.6773   0.3129   0.0582   0.0702   0.8267   0.8244   0.9114
3   0.4395   0.1078   0.4065   0.093    0.5638   0.9048   0.8322
4   0.9208   0.1293   0.3775   0.9366   0.9778   0.4502   0.9105
5   0.2169   0.413    0.1239   0.3991   0.9489   0.0865   0.9636
6   0.5891   0.5143   0.5818   0.5529   0.3019   0.7431   0.9256
7   0.3593   0.7646   0.695    0.3716   0.9011   0.065    0.2941
8   0.8299   0.7573   0.5054   0.6637   0.7265   0.9607   0.6231
9   0.6109   0.7222   0.6669   0.2483   0.2385   0.9802   0.5449
;

