set P := 1 2 3 4 5 6 7 8 9;

set I := 1 2 3 4 5;

param 
v [*,*]
:     1        2        3        4        5       :=
1   0.7538   0.0321   0.1972   0.0519   0.7467
2   0.0236   0.9081   0.4547   0.4474   0.892
3   0.7572   0.3365   0.8705   0.9525   0.8145
4   0.9896   0.6809   0.838    0.3407   0.1725
5   0.2485   0.8085   0.8258   0.6861   0.9798
6   0.6364   0.6666   0.7543   0.5436   0.7942
7   0.8018   0.4653   0.6332   0.9856   0.0394
8   0.9615   0.0839   0.3365   0.2774   0.7033
9   0.2925   0.9495   0.2927   0.8654   0.0593
;

