set P := 1 2 3 4;

set I := 1 2 3 4 5 6 7 8 9 10;

param 
v [*,*] (tr)
:      1        2        3        4       :=
1    0.1112   0.226    0.341    0.8846
2    0.8766   0.8677   0.1845   0.0223
3    0.8965   0.9035   0.9347   0.3731
4    0.893    0.117    0.2804   0.115
5    0.7249   0.9732   0.5716   0.3732
6    0.9786   0.6496   0.1742   0.361
7    0.1003   0.2086   0.6471   0.6735
8    0.9104   0.855    0.1549   0.3824
9    0.0385   0.7014   0.1094   0.7729
10   0.8857   0.2646   0.2666   0.5574
;

