set P := 1 2 3 4;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

param 
v [*,*] (tr)
:      1        2        3        4       :=
1    0.7502   0.8475   0.7528   0.7407
2    0.9394   0.2446   0.2034   0.7765
3    0.8242   0.5449   0.4102   0.4437
4    0.5504   0.1789   0.1994   0.7796
5    0.7723   0.558    0.6957   0.9362
6    0.9336   0.4726   0.5177   0.5117
7    0.9721   0.158    0.3273   0.5405
8    0.7317   0.3096   0.0074   0.6445
9    0.0358   0.0918   0.3531   0.2511
10   0.7801   0.9146   0.6962   0.2663
11   0.9775   0.2079   0.4696   0.3515
12   0.4331   0.1584   0.1877   0.7963
13   0.4227   0.6588   0.4255   0.1127
14   0.0501   0.1221   0.8206   0.5282
15   0.452    0.4082   0.2198   0.2515
16   0.8581   0.7626   0.2551   0.9507
17   0.5175   0.338    0.9331   0.2234
;

