set P := 1 2 3 4 5;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

param 
v [*,*] (tr)
:      1        2        3        4        5       :=
1    0.5447   0.7377   0.2936   0.761    0.9819
2    0.651    0.355    0.7919   0.3462   0.01
3    0.2369   0.2013   0.747    0.5356   0.2238
4    0.5502   0.9419   0.1275   0.2755   0.6549
5    0.1959   0.2213   0.4915   0.3933   0.4414
6    0.2083   0.378    0.3963   0.5368   0.424
7    0.7279   0.4411   0.6647   0.1509   0.7346
8    0.2662   0.9481   0.5281   0.6658   0.7911
9    0.506    0.0493   0.0009   0.6342   0.4077
10   0.5139   0.8261   0.3171   0.2099   0.7055
11   0.6555   0.7386   0.3883   0.0512   0.2466
12   0.3149   0.8303   0.7175   0.2168   0.2501
13   0.6862   0.6384   0.2368   0.266    0.5322
14   0.4624   0.3406   0.954    0.9212   0.8795
15   0.828    0.5257   0.2382   0.1647   0.0932
16   0.9119   0.0944   0.077    0.5704   0.8178
17   0.556    0.9886   0.2673   0.3765   0.5563
18   0.1564   0.1852   0.9141   0.1075   0.5814
;

