set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

set I := 1 2 3;

param 
v [*,*]
:      1        2        3       :=
1    0.1024   0.3555   0.5726
2    0.5249   0.0374   0.1381
3    0.0546   0.4058   0.9604
4    0.5945   0.0731   0.5905
5    0.846    0.6573   0.9668
6    0.5402   0.4044   0.0789
7    0.893    0.9471   0.6578
8    0.949    0.7155   0.1302
9    0.1941   0.3401   0.8575
10   0.0408   0.7675   0.0597
11   0.6038   0.2521   0.6464
12   0.7807   0.3605   0.0622
13   0.3253   0.2877   0.2944
14   0.5111   0.9121   0.2524
15   0.0417   0.1984   0.7844
16   0.3231   0.1491   0.9961
17   0.0815   0.5384   0.7628
18   0.0941   0.5657   0.4788
;

