set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16;

param 
v [*,*]
:      1        2        3        4        5        6        7        8      :=
1    0.9044   0.2397   0.2144   0.6572   0.8518   0.0366   0.6521   0.7548
2    0.9902   0.8657   0.1314   0.8909   0.7369   0.3023   0.4216   0.3708
3    0.649    0.7205   0.3357   0.1462   0.7145   0.0515   0.6728   0.3206
4    0.5259   0.8078   0.4488   0.1424   0.2597   0.813    0.89     0.1768
5    0.1374   0.5381   0.0395   0.9757   0.4013   0.8165   0.4683   0.2931
6    0.1845   0.9349   0.4444   0.0269   0.6417   0.3832   0.8628   0.1879
7    0.6308   0.7582   0.5065   0.8215   0.7045   0.9065   0.8254   0.8596
8    0.8402   0.7254   0.6003   0.3331   0.2411   0.3978   0.1714   0.5879
9    0.36     0.2453   0.5219   0.7915   0.5883   0.2707   0.2696   0.4964
10   0.7846   0.2531   0.0485   0.0807   0.6036   0.6506   0.6395   0.8323
11   0.4182   0.4406   0.2401   0.6235   0.3649   0.1572   0.7436   0.7281
12   0.4133   0.7704   0.8113   0.7015   0.2655   0.9616   0.7879   0.2163
13   0.2815   0.1848   0.5603   0.0743   0.563    0.2591   0.4609   0.0797
14   0.2518   0.2088   0.2922   0.0613   0.0283   0.7126   0.8259   0.3719
15   0.9203   0.4487   0.0716   0.6501   0.4945   0.3898   0.0835   0.6618
16   0.6122   0.7201   0.7003   0.9882   0.1864   0.3371   0.738    0.1701
17   0.162    0.2144   0.7697   0.4606   0.4167   0.658    0.519    0.5041

:      9        10       11       12       13       14       15       16     :=
1    0.6184   0.7974   0.9258   0.0079   0.3086   0.0487   0.3228   0.7717
2    0.1517   0.781    0.7492   0.4692   0.0781   0.4617   0.0594   0.3819
3    0.9119   0.7274   0.9814   0.5076   0.4756   0.8967   0.5596   0.7987
4    0.7027   0.9498   0.5396   0.1553   0.1231   0.7175   0.5139   0.414
5    0.2181   0.5882   0.2975   0.8098   0.1257   0.648    0.5229   0.869
6    0.5184   0.5311   0.555    0.2714   0.7931   0.1854   0.1587   0.6286
7    0.2668   0.5603   0.873    0.8394   0.6333   0.9208   0.7515   0.2053
8    0.1886   0.642    0.5791   0.035    0.0882   0.757    0.9786   0.8068
9    0.6288   0.7585   0.3572   0.9562   0.9924   0.6094   0.1183   0.9094
10   0.9686   0.7441   0.286    0.1046   0.7783   0.1096   0.5721   0.1061
11   0.2095   0.7503   0.4211   0.5439   0.7703   0.6305   0.0545   0.3678
12   0.1357   0.9492   0.4317   0.6094   0.7717   0.3717   0.6965   0.2635
13   0.9091   0.1065   0.483    0.9294   0.3124   0.1172   0.7836   0.934
14   0.8026   0.9984   0.6884   0.2518   0.1922   0.164    0.8025   0.6779
15   0.3802   0.5991   0.3547   0.1926   0.3456   0.4903   0.528    0.0532
16   0.2514   0.8773   0.6114   0.6159   0.4467   0.5634   0.113    0.2144
17   0.6912   0.0865   0.0043   0.7746   0.2252   0.9893   0.5899   0.2259
;

