set P := 1 2 3;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

param 
v [*,*] (tr)
:      1        2        3       :=
1    0.9414   0.0471   0.4056
2    0.9725   0.029    0.2799
3    0.2519   0.8075   0.0651
4    0.6552   0.9347   0.806
5    0.1776   0.3632   0.7096
6    0.9092   0.4769   0.8207
7    0.7189   0.6253   0.6552
8    0.7969   0.1392   0.7527
9    0.0166   0.7389   0.8286
10   0.7875   0.1001   0.5353
11   0.0489   0.2277   0.577
12   0.8985   0.0606   0.8799
13   0.0021   0.1754   0.9545
14   0.3422   0.6531   0.9348
15   0.6545   0.3559   0.9545
16   0.3027   0.1373   0.9515
17   0.2645   0.4255   0.5507
18   0.9437   0.6211   0.928
19   0.8124   0.1873   0.6707
;

