set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

set I := 1 2 3;

param 
v [*,*]
:      1        2        3       :=
1    0.5241   0.3823   0.6399
2    0.9765   0.5335   0.729
3    0.717    0.5199   0.1953
4    0.4473   0.7663   0.3839
5    0.4281   0.3181   0.5824
6    0.8746   0.2421   0.3996
7    0.858    0.2744   0.1647
8    0.1433   0.4955   0.4166
9    0.2887   0.0543   0.4976
10   0.6011   0.7374   0.6411
11   0.4431   0.153    0.1485
12   0.3197   0.3499   0.3168
13   0.0449   0.7152   0.3738
14   0.1295   0.9639   0.2046
15   0.9246   0.0665   0.3885
16   0.9663   0.166    0.755
17   0.9894   0.4059   0.9659
18   0.4028   0.4763   0.6573
19   0.3357   0.3021   0.7472
;

