set P := 1 2 3 4 5 6 7 8 9 10 11;

set I := 1 2 3 4 5 6;

param 
v [*,*]
:      1        2        3        4        5        6       :=
1    0.0301   0.984    0.6249   0.5446   0.9529   0.5674
2    0.99     0.096    0.9547   0.5843   0.236    0.9681
3    0.9228   0.3915   0.319    0.5696   0.4466   0.5746
4    0.2226   0.4249   0.0974   0.4401   0.2012   0.4325
5    0.3761   0.0438   0.6864   0.4872   0.8715   0.3586
6    0.0249   0.5521   0.0961   0.4267   0.5204   0.4755
7    0.808    0.3976   0.6534   0.1935   0.1881   0.3209
8    0.2613   0.907    0.1943   0.5142   0.5881   0.0194
9    0.5467   0.4377   0.3669   0.2805   0.5694   0.6492
10   0.7318   0.4135   0.7057   0.6262   0.3988   0.2902
11   0.6825   0.4186   0.7638   0.5067   0.4914   0.2188
;

