set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set I := 1 2 3 4 5 6 7 8;

param 
v [*,*]
:      1        2        3        4        5        6        7        8      :=
1    0.3362   0.3311   0.907    0.5269   0.221    0.451    0.1778   0.8899
2    0.9793   0.448    0.6258   0.2326   0.5888   0.1      0.7365   0.048
3    0.2566   0.4149   0.2002   0.8308   0.3116   0.8812   0.0073   0.9385
4    0.2057   0.9048   0.9497   0.8668   0.5099   0.668    0.4268   0.6749
5    0.3872   0.0371   0.7683   0.7914   0.8842   0.8083   0.1935   0.6239
6    0.2057   0.3297   0.916    0.9247   0.6202   0.6087   0.8074   0.7096
7    0.9216   0.0576   0.208    0.83     0.6672   0.0409   0.4474   0.0284
8    0.5994   0.5197   0.2995   0.3105   0.7932   0.9795   0.9868   0.3079
9    0.5725   0.129    0.5642   0.8948   0.3189   0.7516   0.3044   0.9494
10   0.0907   0.9212   0.0724   0.67     0.3438   0.9366   0.4348   0.5263
11   0.6006   0.8195   0.6217   0.2029   0.2215   0.1262   0.4666   0.1241
12   0.7696   0.4236   0.1378   0.0238   0.4843   0.4452   0.6704   0.4201
13   0.8481   0.9449   0.6946   0.2806   0.2641   0.9761   0.9749   0.1409
14   0.4183   0.8403   0.0878   0.6686   0.2011   0.2866   0.9493   0.6892
15   0.1056   0.6061   0.8456   0.3341   0.8503   0.3948   0.3      0.2122
16   0.6558   0.6001   0.0576   0.6031   0.7719   0.8247   0.7178   0.3488
17   0.2101   0.5293   0.0537   0.3562   0.0548   0.0973   0.3512   0.6084
18   0.643    0.1908   0.3645   0.2328   0.1833   0.0335   0.0103   0.364
19   0.8034   0.1506   0.1479   0.0841   0.8375   0.8854   0.4001   0.2403
20   0.3832   0.9833   0.9105   0.586    0.3275   0.0333   0.8405   0.0772
;

