set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

set I := 1 2 3 4;

param 
v [*,*]
:      1        2        3        4       :=
1    0.1638   0.8074   0.7675   0.7469
2    0.9623   0.422    0.6268   0.9316
3    0.8361   0.3642   0.5241   0.7022
4    0.181    0.4408   0.1035   0.7175
5    0.5229   0.2913   0.7728   0.054
6    0.5227   0.8882   0.3081   0.4435
7    0.484    0.8139   0.0892   0.0361
8    0.308    0.8279   0.8641   0.6472
9    0.2744   0.6068   0.3121   0.1886
10   0.865    0.4481   0.7392   0.2159
11   0.4737   0.0804   0.2761   0.2727
12   0.6725   0.8294   0.2512   0.1731
13   0.3275   0.203    0.9237   0.3084
14   0.0058   0.1683   0.4855   0.5275
15   0.1724   0.675    0.9651   0.0943
;

