set P := 1 2;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

param 
v [*,*] (tr)
:      1        2       :=
1    0.2498   0.0759
2    0.0393   0.1993
3    0.3574   0.9602
4    0.3887   0.1908
5    0.775    0.7295
6    0.3      0.6369
7    0.5291   0.3732
8    0.1439   0.6426
9    0.9328   0.5704
10   0.6668   0.8222
11   0.612    0.4795
12   0.9094   0.7447
13   0.8574   0.4381
14   0.8186   0.5752
15   0.035    0.6463
16   0.666    0.0148
17   0.5683   0.1924
18   0.9282   0.1321
19   0.9356   0.4938
20   0.863    0.4828
;

