set P := 1 2 3 4;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param 
v [*,*] (tr)
:      1        2        3        4       :=
1    0.7872   0.3564   0.4869   0.6345
2    0.5641   0.4581   0.9501   0.9644
3    0.7941   0.4284   0.1471   0.0056
4    0.0525   0.8398   0.4898   0.1742
5    0.3995   0.287    0.662    0.7479
6    0.1672   0.0339   0.4097   0.216
7    0.0217   0.1748   0.8864   0.4378
8    0.6639   0.5148   0.3667   0.6153
9    0.2981   0.2121   0.852    0.8405
10   0.3395   0.1303   0.3886   0.0668
11   0.6066   0.7497   0.7396   0.7649
12   0.3966   0.0041   0.4005   0.8453
13   0.5843   0.6664   0.7697   0.9559
14   0.5726   0.7683   0.6681   0.8798
15   0.5282   0.0186   0.8193   0.3759
;

