set P := 1 2 3;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

param 
v [*,*] (tr)
:      1        2        3       :=
1    0.3147   0.4353   0.7933
2    0.0985   0.0008   0.2599
3    0.1968   0.8263   0.4797
4    0.8352   0.062    0.6679
5    0.9736   0.5029   0.9544
6    0.8413   0.7992   0.2423
7    0.5305   0.0237   0.4363
8    0.7971   0.0082   0.245
9    0.0421   0.7405   0.9033
10   0.4936   0.9963   0.5745
11   0.6931   0.0317   0.5671
12   0.3907   0.8821   0.2356
13   0.0384   0.6395   0.5676
14   0.0062   0.0257   0.7464
15   0.0929   0.755    0.9367
16   0.9498   0.4732   0.9052
17   0.168    0.6611   0.7099
18   0.7251   0.3476   0.426
19   0.5002   0.1691   0.7411
20   0.8573   0.4837   0.459
;

