set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

set I := 1 2 3;

param 
v [*,*]
:      1        2        3       :=
1    0.9272   0.8343   0.5498
2    0.7038   0.4448   0.1426
3    0.9526   0.5127   0.0676
4    0.8821   0.0582   0.5387
5    0.5162   0.3493   0.3777
6    0.6645   0.6323   0.1381
7    0.2798   0.5209   0.3854
8    0.1872   0.7138   0.0641
9    0.3697   0.1404   0.4324
10   0.3686   0.9214   0.8332
11   0.3753   0.171    0.6157
12   0.6981   0.9399   0.4204
13   0.8667   0.8652   0.4929
14   0.1822   0.4848   0.4578
15   0.8286   0.8679   0.8291
;

