set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

set I := 1 2 3 4;

param 
v [*,*]
:      1        2        3        4       :=
1    0.5261   0.5014   0.676    0.4266
2    0.0474   0.4675   0.4911   0.3231
3    0.9283   0.1      0.437    0.8793
4    0.7176   0.628    0.518    0.1946
5    0.4973   0.5929   0.5399   0.2146
6    0.2671   0.78     0.5644   0.03
7    0.5017   0.518    0.1831   0.1684
8    0.4131   0.1901   0.4298   0.6102
9    0.4631   0.807    0.6197   0.0688
10   0.873    0.7934   0.8322   0.4759
11   0.6928   0.8909   0.2135   0.1696
12   0.1168   0.9024   0.0899   0.194
13   0.1941   0.6171   0.3116   0.8377
14   0.9332   0.032    0.054    0.8366
15   0.1807   0.735    0.4657   0.8123
16   0.631    0.6086   0.1925   0.6327
17   0.9868   0.5089   0.1085   0.2787
;

