set P := 1 2 3 4 5 6 7;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

param 
v [*,*] (tr)
:      1        2        3        4        5        6        7       :=
1    0.3913   0.8077   0.8337   0.6404   0.2567   0.6287   0.6166
2    0.8494   0.6725   0.7786   0.5332   0.0365   0.9052   0.759
3    0.4185   0.7416   0.6446   0.7949   0.3893   0.8079   0.0884
4    0.8207   0.7198   0.8645   0.6392   0.3748   0.8302   0.7283
5    0.5018   0.2386   0.4457   0.4016   0.4097   0.3104   0.8127
6    0.7337   0.883    0.6669   0.0926   0.9211   0.8813   0.8759
7    0.0718   0.5981   0.1434   0.4329   0.0828   0.0843   0.0716
8    0.0969   0.7838   0.7028   0.9915   0.6487   0.1613   0.5169
9    0.4871   0.2302   0.561    0.5459   0.9298   0.2647   0.7145
10   0.347    0.3034   0.2383   0.9818   0.3657   0.0379   0.2006
11   0.735    0.6932   0.0739   0.8351   0.1084   0.6208   0.7069
12   0.1516   0.2087   0.7243   0.9548   0.1802   0.2077   0.9439
13   0.831    0.8645   0.9077   0.4934   0.6292   0.8728   0.7171
14   0.3115   0.106    0.8668   0.7547   0.4167   0.5917   0.111
15   0.674    0.1303   0.325    0.2366   0.5657   0.826    0.0955
16   0.0641   0.8506   0.9104   0.9287   0.0646   0.2596   0.4014
17   0.7282   0.8934   0.5225   0.0449   0.4623   0.9993   0.176
;

