set P := 1 2 3 4 5;

set I := 1 2 3 4 5 6 7 8 9 10;

param 
v [*,*] (tr)
:      1        2        3        4        5       :=
1    0.8444   0.1125   0.0968   0.049    0.1196
2    0.9425   0.8601   0.8591   0.0331   0.1375
3    0.1827   0.7206   0.4048   0.3671   0.3766
4    0.314    0.3555   0.1836   0.0539   0.3162
5    0.3385   0.5463   0.1373   0.077    0.31
6    0.1201   0.1155   0.7707   0.3617   0.8296
7    0.2703   0.0632   0.7184   0.7766   0.1121
8    0.7299   0.5917   0.0029   0.2487   0.4031
9    0.2321   0.4852   0.6129   0.0916   0.0426
10   0.3092   0.7381   0.8484   0.5558   0.5033
;

