set P := 1 2 3 4 5 6 7 8 9 10 11 12;

set I := 1 2 3 4 5 6 7;

param 
v [*,*]
:      1        2        3        4        5        6        7       :=
1    0.5168   0.4551   0.4731   0.7373   0.9813   0.3043   0.5072
2    0.9014   0.0769   0.3833   0.8868   0.604    0.4322   0.2193
3    0.8587   0.9194   0.5996   0.6753   0.2112   0.6419   0.1638
4    0.4533   0.876    0.9758   0.8913   0.5309   0.5895   0.6643
5    0.1828   0.51     0.1426   0.895    0.963    0.6481   0.4081
6    0.5572   0.9335   0.0738   0.4412   0.0516   0.6551   0.8515
7    0.2551   0.6274   0.07     0.8346   0.243    0.0997   0.9646
8    0.5607   0.0492   0.6174   0.9019   0.1747   0.3368   0.7898
9    0.8719   0.6492   0.6105   0.4845   0.6489   0.1641   0.2156
10   0.0673   0.7696   0.471    0.633    0.3609   0.9343   0.5108
11   0.1648   0.5205   0.9248   0.0384   0.105    0.8119   0.171
12   0.5541   0.6445   0.7163   0.932    0.0215   0.1373   0.9112
;

