set P := 1 2 3 4 5 6;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17;

param 
v [*,*] (tr)
:      1        2        3        4        5        6       :=
1    0.1451   0.8483   0.8777   0.7082   0.5673   0.8513
2    0.098    0.8697   0.1053   0.6872   0.8997   0.3837
3    0.2501   0.6679   0.8867   0.855    0.1508   0.9288
4    0.2914   0.0023   0.3068   0.6107   0.9724   0.2022
5    0.7508   0.7603   0.464    0.5821   0.6035   0.2791
6    0.9522   0.0176   0.3814   0.6871   0.1676   0.2809
7    0.6386   0.2303   0.7703   0.5157   0.8405   0.8839
8    0.6567   0.5741   0.8162   0.7162   0.8927   0.371
9    0.1114   0.2609   0.8737   0.3842   0.5555   0.3193
10   0.2548   0.1982   0.1911   0.959    0.5247   0.0744
11   0.7279   0.2955   0.8596   0.0101   0.9441   0.5442
12   0.9789   0.7395   0.5797   0.429    0.1328   0.8558
13   0.8034   0.4236   0.2154   0.7823   0.6861   0.1862
14   0.807    0.3374   0.0289   0.2861   0.1891   0.4537
15   0.6991   0.953    0.6333   0.7469   0.9896   0.3817
16   0.0884   0.0454   0.7229   0.9886   0.797    0.033
17   0.7571   0.5377   0.0327   0.491    0.8536   0.4384
;

