set P := 1 2 3 4 5;

set I := 1 2 3 4 5 6 7 8 9 10 11 12;

param 
v [*,*] (tr)
:      1        2        3        4        5       :=
1    0.6606   0.7594   0.0386   0.0936   0.5241
2    0.9428   0.4629   0.5386   0.7948   0.5482
3    0.958    0.6417   0.2001   0.1661   0.8149
4    0.8299   0.1649   0.9431   0.7876   0.0156
5    0.4892   0.8497   0.6057   0.9054   0.831
6    0.1666   0.2028   0.2568   0.1213   0.2803
7    0.8337   0.2804   0.0439   0.3115   0.5999
8    0.4954   0.254    0.7579   0.0943   0.5049
9    0.9659   0.2779   0.6967   0.4463   0.7726
10   0.3848   0.787    0.2047   0.0109   0.4476
11   0.2279   0.1554   0.873    0.6331   0.6614
12   0.6586   0.5406   0.3405   0.4722   0.6804
;

