set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

set I := 1 2 3 4;

param 
v [*,*]
:      1        2        3        4       :=
1    0.4797   0.3312   0.9687   0.3777
2    0.8046   0.0054   0.2032   0.3759
3    0.1613   0.5333   0.8965   0.9025
4    0.3236   0.7288   0.3465   0.7694
5    0.9678   0.8005   0.0858   0.8466
6    0.3237   0.5806   0.8562   0.5733
7    0.1367   0.819    0.7692   0.7182
8    0.8323   0.5187   0.5979   0.3267
9    0.0533   0.0244   0.4532   0.5791
10   0.7995   0.6744   0.3198   0.5487
11   0.025    0.0743   0.5477   0.0491
12   0.5146   0.0419   0.8101   0.673
13   0.5242   0.256    0.7668   0.7169
14   0.7312   0.9752   0.6959   0.6485
15   0.1976   0.1513   0.4277   0.4993
16   0.1822   0.7598   0.0563   0.8227
17   0.5682   0.4217   0.1787   0.2359
18   0.1795   0.7969   0.3674   0.0293
19   0.4557   0.8563   0.0227   0.0973
;

