set P := 1 2;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

param 
v [*,*] (tr)
:      1        2       :=
1    0.7951   0.3973
2    0.0345   0.0954
3    0.4986   0.2905
4    0.9983   0.0666
5    0.0228   0.8587
6    0.5087   0.6598
7    0.7622   0.0855
8    0.6524   0.9702
9    0.6296   0.9338
10   0.7512   0.5437
11   0.5742   0.5603
12   0.1246   0.9617
13   0.2096   0.6148
14   0.1346   0.7029
15   0.0984   0.1749
16   0.4126   0.3178
17   0.6002   0.6394
18   0.4083   0.1585
19   0.1022   0.0005
;

