set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set I := 1 2;

param 
v [*,*]
:      1        2       :=
1    0.6278   0.0846
2    0.4457   0.7157
3    0.4289   0.0436
4    0.4095   0.7452
5    0.4327   0.7218
6    0.2343   0.6459
7    0.3363   0.6007
8    0.4569   0.3697
9    0.3762   0.9425
10   0.529    0.2214
11   0.8457   0.7733
12   0.9191   0.465
13   0.5099   0.9467
14   0.9103   0.2028
15   0.9991   0.2881
16   0.165    0.8707
17   0.9278   0.891
18   0.1652   0.6319
19   0.6037   0.8223
20   0.8      0.6062
;

