set P := 1 2 3 4 5;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

param 
v [*,*] (tr)
:      1        2        3        4        5       :=
1    0.568    0.1459   0.4393   0.2019   0.4441
2    0.341    0.7727   0.4154   0.3501   0.5989
3    0.0926   0.201    0.9117   0.4026   0.1149
4    0.5925   0.4763   0.0464   0.293    0.9831
5    0.914    0.031    0.6979   0.0214   0.0596
6    0.9868   0.3051   0.7565   0.153    0.511
7    0.6165   0.5185   0.3192   0.2707   0.4391
8    0.681    0.9306   0.403    0.0917   0.1875
9    0.1458   0.6831   0.7711   0.2368   0.0202
10   0.6889   0.2173   0.9781   0.8982   0.7065
11   0.3834   0.9364   0.9595   0.7916   0.5631
12   0.9103   0.4724   0.9955   0.4861   0.2561
13   0.0385   0.309    0.8055   0.6579   0.8217
14   0.641    0.9503   0.6046   0.8385   0.9161
15   0.2741   0.5019   0.1708   0.8099   0.0624
16   0.2865   0.6455   0.8807   0.1542   0.293
17   0.8043   0.4867   0.2325   0.3479   0.056
18   0.3559   0.6082   0.2493   0.3221   0.938
19   0.0714   0.269    0.4152   0.0933   0.823
20   0.9579   0.4451   0.9298   0.0823   0.8037
;

