set P := 1 2 3 4 5 6;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

param 
v [*,*] (tr)
:      1        2        3        4        5        6       :=
1    0.2561   0.774    0.6593   0.4406   0.2519   0.3428
2    0.9241   0.885    0.7491   0.0812   0.7746   0.906
3    0.9675   0.1051   0.2005   0.153    0.8377   0.9374
4    0.4855   0.6626   0.0453   0.3674   0.5047   0.1924
5    0.2842   0.6357   0.3242   0.5021   0.9516   0.7971
6    0.2674   0.0893   0.0218   0.7228   0.4139   0.3843
7    0.505    0.0841   0.3364   0.6536   0.2235   0.7872
8    0.7402   0.3857   0.6896   0.4124   0.9229   0.288
9    0.7313   0.3457   0.6243   0.6379   0.9019   0.6396
10   0.1483   0.5764   0.0647   0.55     0.2168   0.7068
11   0.8882   0.5291   0.113    0.8487   0.3993   0.1943
12   0.0652   0.7405   0.6906   0.4738   0.0991   0.5373
13   0.1082   0.6972   0.9906   0.6516   0.4621   0.3638
14   0.8956   0.4862   0.7553   0.6863   0.4053   0.4771
15   0.9139   0.9821   0.1451   0.8483   0.1981   0.5843
16   0.0462   0.9045   0.0407   0.0177   0.0566   0.5057
17   0.8487   0.5177   0.6055   0.5266   0.8346   0.1866
18   0.383    0.1791   0.8584   0.5483   0.6238   0.1797
;

