set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;

set I := 1 2 3 4;

param 
v [*,*]
:      1        2        3        4       :=
1    0.4864   0.2506   0.7903   0.0122
2    0.5941   0.5381   0.7703   0.2306
3    0.8628   0.8818   0.6823   0.4067
4    0.3424   0.9968   0.3393   0.5881
5    0.2528   0.4332   0.0771   0.5268
6    0.6515   0.2762   0.2721   0.4035
7    0.9334   0.9403   0.1212   0.6596
8    0.5043   0.5852   0.5597   0.9204
9    0.8203   0.1267   0.7953   0.6142
10   0.5361   0.0838   0.4169   0.6049
11   0.8887   0.3199   0.869    0.1887
12   0.6816   0.7371   0.5392   0.4308
13   0.8853   0.8615   0.2217   0.6875
14   0.7902   0.2319   0.7577   0.4825
15   0.4797   0.419    0.6564   0.9535
16   0.8124   0.2072   0.6502   0.9206
17   0.2224   0.4446   0.9941   0.8798
18   0.1109   0.3364   0.553    0.2195
;

