set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;

set I := 1 2;

param 
v [*,*]
:      1        2       :=
1    0.8895   0.7745
2    0.606    0.3219
3    0.8463   0.4117
4    0.7865   0.74
5    0.5272   0.7507
6    0.0801   0.1318
7    0.3648   0.3918
8    0.5895   0.2417
9    0.1778   0.0221
10   0.6499   0.9618
11   0.7265   0.9136
12   0.3415   0.8676
13   0.2245   0.0741
14   0.8388   0.6734
15   0.4533   0.5099
16   0.5866   0.9583
17   0.7551   0.1154
18   0.1126   0.3064
19   0.0951   0.2583
;

