set P := 1 2 3 4 5 6 7 8;

set I := 1 2 3 4 5 6;

param 
v [*,*]
:     1        2        3        4        5        6       :=
1   0.1591   0.6534   0.0102   0.2856   0.8721   0.1282
2   0.4409   0.0249   0.2234   0.5063   0.2914   0.7613
3   0.2207   0.7462   0.2096   0.6577   0.8559   0.8221
4   0.9452   0.3223   0.3357   0.1305   0.1821   0.4438
5   0.6623   0.1915   0.6396   0.2157   0.1603   0.5001
6   0.7548   0.3719   0.9331   0.4313   0.7647   0.9071
7   0.561    0.3278   0.0536   0.5353   0.1112   0.1459
8   0.7437   0.3541   0.8068   0.2217   0.5943   0.5434
;

