set P := 1 2 3 4 5 6;

set I := 1 2 3 4 5 6 7 8;

param 
v [*,*] (tr)
:     1        2        3        4        5        6       :=
1   0.7302   0.0006   0.8858   0.7659   0.5342   0.0789
2   0.1541   0.0139   0.8932   0.9987   0.0878   0.5786
3   0.1695   0.9127   0.1048   0.8488   0.1692   0.5227
4   0.9961   0.6862   0.9321   0.0427   0.2026   0.7842
5   0.8651   0.6974   0.0996   0.3541   0.6656   0.5594
6   0.1382   0.8724   0.0499   0.9238   0.1803   0.2507
7   0.5951   0.3075   0.2698   0.6332   0.1624   0.5088
8   0.5497   0.9347   0.0046   0.4274   0.7407   0.3681
;

