set P := 1 2 3 4 5 6 7 8;

set I := 1 2 3 4 5 6 7 8;

param 
v [*,*]
:     1        2        3        4        5        6        7        8       :=
1   0.2057   0.4904   0.7623   0.9762   0.9621   0.1859   0.8903   0.0665
2   0.8991   0.9981   0.0534   0.0295   0.441    0.9103   0.1449   0.8167
3   0.5772   0.4348   0.4277   0.4927   0.2827   0.5149   0.7695   0.3557
4   0.3961   0.2281   0.1769   0.1911   0.2585   0.337    0.8424   0.2678
5   0.6314   0.8136   0.9251   0.594    0.2444   0.5624   0.4442   0.2185
6   0.1465   0.6      0.9629   0.2084   0.5037   0.1008   0.2256   0.2592
7   0.4961   0.6913   0.2824   0.5384   0.4495   0.0892   0.7354   0.3932
8   0.0141   0.5316   0.4624   0.1812   0.7212   0.9736   0.9042   0.6264
;

