set P := 1 2 3 4 5 6 7 8 9 10 11 12 13;

set I := 1 2 3 4 5 6 7;

param 
v [*,*]
:      1        2        3        4        5        6        7       :=
1    0.6914   0.4249   0.8492   0.3089   0.8874   0.5685   0.4546
2    0.9427   0.5653   0.5999   0.5169   0.7598   0.9195   0.9308
3    0.6622   0.4561   0.9083   0.7732   0.5776   0.9308   0.1838
4    0.4951   0.1165   0.5267   0.0902   0.0653   0.3969   0.3673
5    0.9856   0.9675   0.226    0.5152   0.8934   0.7883   0.3572
6    0.1811   0.419    0.2004   0.6517   0.4483   0.0457   0.5455
7    0.4891   0.0058   0.4792   0.2893   0.9542   0.2595   0.5505
8    0.6182   0.2156   0.5919   0.132    0.4071   0.2484   0.5695
9    0.0199   0.7684   0.5423   0.9419   0.7026   0.6947   0.4276
10   0.2591   0.5761   0.0942   0.7638   0.4949   0.3807   0.5747
11   0.2853   0.1102   0.9568   0.9685   0.1937   0.9768   0.4619
12   0.3485   0.23     0.8297   0.239    0.8828   0.0232   0.6989
13   0.7677   0.0316   0.8588   0.1882   0.3763   0.0084   0.2288
;

