set P := 1 2 3 4 5 6 7 8 9 10 11 12 13 14;

set I := 1 2 3;

param 
v [*,*]
:      1        2        3       :=
1    0.121    0.5394   0.4281
2    0.0742   0.6564   0.6773
3    0.1631   0.1181   0.4884
4    0.6757   0.71     0.3015
5    0.5661   0.683    0.1933
6    0.3993   0.6373   0.8562
7    0.6441   0.5807   0.5072
8    0.7767   0.8451   0.4296
9    0.2689   0.687    0.8519
10   0.6341   0.3163   0.0688
11   0.5771   0.6945   0.6545
12   0.0657   0.8717   0.2827
13   0.3717   0.1623   0.0573
14   0.7751   0.6367   0.8177
;

