set P := 1 2 3 4 5 6 7 8 9 10 11 12 13;

set I := 1 2 3 4 5 6;

param 
v [*,*]
:      1        2        3        4        5        6       :=
1    0.3678   0.9341   0.2583   0.4697   0.4271   0.3297
2    0.1868   0.416    0.6423   0.6382   0.8341   0.3795
3    0.3499   0.6989   0.9161   0.4014   0.6309   0.3053
4    0.4246   0.0106   0.4869   0.7843   0.4603   0.0138
5    0.303    0.6401   0.4037   0.9158   0.3345   0.114
6    0.9181   0.8513   0.7339   0.8186   0.2071   0.3081
7    0.4026   0.7521   0.0471   0.9602   0.4353   0.0802
8    0.6788   0.8641   0.8444   0.8145   0.8025   0.2652
9    0.1028   0.9114   0.4547   0.4413   0.2613   0.5527
10   0.2113   0.5505   0.3377   0.7561   0.0502   0.3181
11   0.0976   0.0005   0.5564   0.749    0.0061   0.9392
12   0.2518   0.8095   0.7099   0.4272   0.7259   0.2208
13   0.7729   0.1244   0.9357   0.0148   0.3229   0.0146
;

