set P := 1 2 3;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14;

param 
v [*,*] (tr)
:      1        2        3       :=
1    0.0247   0.2456   0.944
2    0.2131   0.6102   0.0995
3    0.938    0.3943   0.1865
4    0.982    0.6767   0.8255
5    0.4989   0.161    0.1708
6    0.284    0.4737   0.8264
7    0.2959   0.1968   0.2974
8    0.0758   0.9254   0.6304
9    0.4078   0.6848   0.2431
10   0.7543   0.6485   0.2538
11   0.3233   0.4428   0.0952
12   0.9646   0.9751   0.5742
13   0.2187   0.2442   0.8224
14   0.3748   0.8332   0.0854
;

