set P := 1 2 3 4 5;

set I := 1 2 3 4 5 6 7 8;

param 
v [*,*] (tr)
:     1        2        3        4        5       :=
1   0.5543   0.6609   0.5503   0.2649   0.4411
2   0.2163   0.3819   0.4433   0.0971   0.5679
3   0.7335   0.6379   0.7461   0.4142   0.9101
4   0.838    0.0578   0.682    0.3019   0.5858
5   0.8539   0.0561   0.3016   0.8665   0.3144
6   0.142    0.9564   0.3687   0.4211   0.8233
7   0.9342   0.9984   0.1499   0.4402   0.9576
8   0.4863   0.6102   0.3661   0.8542   0.0825
;

