set P := 1 2 3 4 5 6 7 8 9 10 11 12 13;

set I := 1 2 3 4 5;

param 
v [*,*]
:      1        2        3        4        5       :=
1    0.7532   0.6262   0.1249   0.4067   0.039
2    0.5708   0.232    0.1575   0.5358   0.6124
3    0.2151   0.2579   0.1868   0.6301   0.9142
4    0.1371   0.7492   0.6085   0.2959   0.5725
5    0.1876   0.3618   0.0735   0.5364   0.1068
6    0.0712   0.0381   0.9003   0.5239   0.0185
7    0.4941   0.4291   0.3147   0.627    0.9335
8    0.1624   0.9755   0.2045   0.738    0.3838
9    0.605    0.2865   0.395    0.8298   0.0773
10   0.3845   0.432    0.7697   0.5557   0.7279
11   0.0558   0.0878   0.7004   0.5795   0.8902
12   0.4495   0.6442   0.2063   0.2032   0.2689
13   0.4533   0.1738   0.4405   0.1287   0.9149
;

