set P := 1 2 3 4 5;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param 
v [*,*] (tr)
:      1        2        3        4        5       :=
1    0.4916   0.2511   0.3169   0.2709   0.6943
2    0.2825   0.4627   0.097    0.6731   0.6004
3    0.9129   0.8471   0.1459   0.52     0.5902
4    0.711    0.9002   0.3162   0.2228   0.637
5    0.1705   0.3228   0.1651   0.8863   0.0994
6    0.4955   0.6135   0.573    0.0331   0.9504
7    0.8112   0.3991   0.3991   0.9756   0.2807
8    0.8115   0.9175   0.5868   0.4955   0.0947
9    0.5731   0.8306   0.4181   0.2199   0.8628
10   0.3849   0.914    0.019    0.585    0.3958
11   0.3896   0.773    0.941    0.783    0.6738
12   0.5624   0.6442   0.8294   0.4541   0.8969
13   0.8547   0.8546   0.2372   0.0591   0.9824
14   0.3471   0.5461   0.7665   0.7007   0.5188
15   0.5873   0.5488   0.1326   0.0096   0.3143
;

