set P := 1 2 3 4 5 6 7;

set I := 1 2 3 4 5 6 7 8;

param 
v [*,*] (tr)
:     1        2        3        4        5        6        7       :=
1   0.4891   0.1464   0.0194   0.2708   0.1998   0.5854   0.801
2   0.6259   0.486    0.0586   0.2959   0.5646   0.8347   0.586
3   0.8394   0.5344   0.7708   0.7013   0.4728   0.3133   0.9989
4   0.9023   0.1908   0.1595   0.9501   0.2939   0.5765   0.9914
5   0.6247   0.5738   0.5674   0.9147   0.8476   0.9941   0.6302
6   0.9508   0.7425   0.5855   0.8274   0.3578   0.2006   0.0885
7   0.0549   0.8306   0.8905   0.3541   0.2849   0.4724   0.7459
8   0.2674   0.8936   0.4788   0.4239   0.3855   0.6037   0.4212
;

