set P := 1 2 3 4 5 6 7 8 9 10 11 12 13;

set I := 1 2 3 4;

param 
v [*,*]
:      1        2        3        4       :=
1    0.4882   0.0366   0.3381   0.6074
2    0.302    0.888    0.1912   0.0843
3    0.4018   0.669    0.2482   0.6586
4    0.1872   0.9973   0.6566   0.7942
5    0.1002   0.1911   0.1623   0.7832
6    0.073    0.5427   0.2753   0.5223
7    0.748    0.8679   0.144    0.316
8    0.2789   0.7324   0.8915   0.7296
9    0.8571   0.3051   0.4239   0.4659
10   0.0218   0.663    0.0985   0.0108
11   0.3722   0.6396   0.8683   0.3058
12   0.5054   0.7027   0.8785   0.4258
13   0.3581   0.2785   0.8246   0.1906
;

