set P := 1 2 3 4 5 6 7 8 9 10 11 12 13;

set I := 1 2 3;

param 
v [*,*]
:      1        2        3       :=
1    0.115    0.7819   0.1871
2    0.9017   0.2814   0.1942
3    0.0029   0.1471   0.2645
4    0.8637   0.1663   0.8167
5    0.2528   0.9894   0.7915
6    0.8268   0.043    0.2247
7    0.0779   0.0557   0.5341
8    0.0244   0.3458   0.1516
9    0.238    0.5998   0.6898
10   0.3984   0.608    0.9932
11   0.7235   0.7557   0.3936
12   0.5397   0.5753   0.8805
13   0.791    0.4645   0.0921
;

