set P := 1 2 3 4 5 6 7;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13;

param 
v [*,*] (tr)
:      1        2        3        4        5        6        7       :=
1    0.3413   0.4963   0.049    0.0799   0.1334   0.9705   0.6358
2    0.9135   0.4263   0.6898   0.9387   0.267    0.7176   0.8399
3    0.3256   0.0383   0.0178   0.0444   0.0991   0.5591   0.8224
4    0.1581   0.6821   0.7767   0.4493   0.0488   0.2956   0.3279
5    0.4187   0.8252   0.7323   0.509    0.8021   0.8292   0.376
6    0.946    0.4973   0.0717   0.2071   0.091    0.6863   0.7713
7    0.4689   0.1561   0.7712   0.2463   0.2398   0.057    0.6974
8    0.0842   0.9342   0.3629   0.6366   0.3016   0.2793   0.2262
9    0.0592   0.7347   0.0176   0.0864   0.6063   0.4951   0.838
10   0.8738   0.7244   0.4562   0.954    0.5229   0.1796   0.0581
11   0.813    0.7641   0.6416   0.8161   0.2542   0.7442   0.2705
12   0.0369   0.9678   0.6672   0.2482   0.219    0.3502   0.9824
13   0.5239   0.0546   0.6209   0.9966   0.9395   0.6758   0.4628
;

