set P := 1 2 3 4 5 6 7 8;

set I := 1 2 3 4 5 6 7;

param 
v [*,*]
:     1        2        3        4        5        6        7       :=
1   0.2518   0.5267   0.1928   0.4253   0.5219   0.3114   0.9922
2   0.2948   0.6041   0.0619   0.5327   0.6849   0.1673   0.6342
3   0.2966   0.3865   0.814    0.7073   0.1188   0.3023   0.2272
4   0.8199   0.7883   0.4164   0.264    0.7572   0.6128   0.762
5   0.3698   0.415    0.807    0.1188   0.994    0.5527   0.9807
6   0.797    0.9282   0.5875   0.8679   0.191    0.4021   0.6263
7   0.4621   0.2742   0.3424   0.4045   0.0942   0.1113   0.6416
8   0.6818   0.0175   0.7317   0.3264   0.6022   0.2778   0.9025
;

