set P := 1 2 3 4 5 6 7 8;

set I := 1 2 3 4 5 6 7 8 9 10 11 12 13;

param 
v [*,*] (tr)
:      1        2        3        4        5        6        7        8      :=
1    0.332    0.2595   0.9146   0.4222   0.6109   0.8486   0.6687   0.3061
2    0.9303   0.8354   0.6086   0.6357   0.0636   0.5184   0.0691   0.6265
3    0.802    0.2952   0.1337   0.7008   0.0741   0.7929   0.8284   0.6815
4    0.4659   0.39     0.6808   0.4068   0.7628   0.0375   0.123    0.1905
5    0.9845   0.4618   0.2853   0.4634   0.9839   0.5379   0.8155   0.2556
6    0.0037   0.2121   0.9504   0.9488   0.6521   0.8461   0.7804   0.8421
7    0.2241   0.6542   0.8312   0.5146   0.7714   0.0137   0.3864   0.6363
8    0.9608   0.8103   0.8947   0.4102   0.7014   0.9142   0.4715   0.6558
9    0.8322   0.9333   0.8789   0.6747   0.875    0.9807   0.6208   0.1708
10   0.0571   0.7882   0.1787   0.5539   0.9651   0.2179   0.4229   0.3819
11   0.8616   0.8834   0.9423   0.4434   0.2753   0.8965   0.009    0.7767
12   0.9952   0.606    0.3166   0.1593   0.6038   0.1202   0.9348   0.7811
13   0.5463   0.2948   0.7766   0.0626   0.0302   0.34     0.2064   0.9443
;

